name,ascii_str,ascii_str_get,getter,getter_type,setter,setter_type,setter_range ,doc,subsystem,is_config,setter_inputs,getter_inputs
aux_output,"AUXV {value}, {chan}",AUXV? {chan},TRUE,float,TRUE,int,"[1,4]","voltage of Aux Output i (1,2,3,4) to x Volts. -10.500 ≤ x ≤ 10.500",aux,FALSE,2,1
out_interface,OUTX,,TRUE,int,TRUE,int,"[0,1]",Output interface to RS-232(0) or GPIB(1),setup,TRUE,,
gpib_override,OVRM,,TRUE,int,TRUE,int,"[0,1]",GPIB Overide Remote state to Off (0) or On (1),setup,TRUE,,
key_click,KCLK,,TRUE,int,TRUE,int,"[0,1]",Key Click to Off (0) or On (1),setup,TRUE,,
alarm,ALRM,,TRUE,int,TRUE,int,"[0,1]",Alarms to Off (0) or On (1),setup,TRUE,,
save_setup,SSET,,FALSE,none,TRUE,int,"[1,9]",save current setup to setting buffer,setup,FALSE,,
recall_setup,RSET,,FALSE,none,TRUE,int,"[1,9]",recall setup from setting buffer,setup,FALSE,,
auto_gain,AGAN,,FALSE,none,TRUE,none,None,Auto Gain function. Same as pressing the [AUTO GAIN] key.,auto,FALSE,,
auto_reserve,ARSV,,FALSE,none,TRUE,none,None,Auto Reserve function. Same as pressing the [AUTO RESERVE] key.,auto,FALSE,,
auto_phase,APHS,,FALSE,none,TRUE,none,None,Auto Phase function. Same as pressing the [AUTO PHASE] key.,auto,FALSE,,
auto_off,AOFF,,FALSE,int,TRUE,int,"[1,2,3]","Auto Offset X, Y, R (i=1,2,3)",auto,FALSE,,
sample_rate,SRAT,,TRUE,int,TRUE,int,"[0,14]",DataSample Rate to 62.5 mHz (0) through 512 Hz (13) or Trigger (14).,data_storage,TRUE,,
scan_mode,SEND,,TRUE,int,TRUE,int,"[0,1]",one-shot(0) or loop(1),data_storage,TRUE,,
trig,TRIG,,FALSE,none,TRUE,none,None,software trigger command,data_storage,FALSE,,
trig_start,TSTR,,TRUE,int,TRUE,int,"[0,1]",trigger starts scan mode No(0) or Yes(0),data_storage,TRUE,,
start_scan,STRT,,FALSE,none,TRUE,none,None,start or continue a scan ,data_storage,FALSE,,
pause_scan,PAUS,,FALSE,none,TRUE,none,None,pause a scan. Does not reset a paused or done scan.,data_storage,FALSE,,
reset_scan,REST,,FALSE,none,TRUE,none,None,Reset a scan,data_storage,FALSE,,
val,OUTP,OUTP? {chan},TRUE,float,FALSE,none,None,"Query the value of X (1), Y (2), R (3) or θ (4). Returns ASCII floating point value",data_transfer,FALSE,,1
disp_val,OUTR,,TRUE,float,FALSE,none,None,Query the value of CH1 Display. Returns ASCII floating point value,data_transfer,FALSE,,
all_val,SNAP,"SNAP? {i}, {j}, {k}, {l}, {m}, {n}",TRUE,float,FALSE,none,None,Query the value of 2 thru 6 paramters at once.,data_transfer,FALSE,,2
aux_input,OAUX,OAUX? {chan},TRUE,int ,FALSE,none,"[1,4]","Query the value of Aux Input i (1,2,3,4) in volts. Insturment has 4 AUX channels",data_transfer,FALSE,,1
data_pts_ready,SPTS,,TRUE,int,FALSE,none,None,"Query the number of points stored in Display i buffer (1,2)",data_transfer,FALSE,,
read_buffer,TRCA,"TRCA? {start_pt}, {num_pts}",TRUE,byte_array_to_numarray_floats,FALSE,none,None,Read k≥1 points starting at bin j≥0 from CH1 Display buffer in ASCII floating point,data_transfer,FALSE,,2
read_buffer_float,TRCB,"TRCB? {start_pt}, {num_pts}",TRUE,byte_array_to_numarray_floats,FALSE,none,None,Read k≥1 points starting at bin j≥0 from CH1 Display buffer in IEEE binary floating point,data_transfer,FALSE,,2
read_buffer_nonnorm,TRCL,"TRCL? {start_pt}, {num_pts}",TRUE,byte_array_to_numarray_floats,FALSE,none,None,Read k≥1 points starting at bin j≥0 from CH1 Display buffer in nonnormalized binary floating point.,data_transfer,FALSE,,2
fast_transfer,FAST,,TRUE,int,TRUE,int,"[0,2]",Fast Data Transfer Mode On (1 or 2) or Off (0).On will transfer binary X and Y every sample during a scan over the GPIB interface.,data_transfer,TRUE,,
start_delay,STRD,,FALSE,none,TRUE,none,None,Start a scan after 0.5sec delay. Use with Fast Data Transfer Mode,data_transfer,FALSE,,
reset,*RST,,FALSE,none,TRUE,none,None,Reset the unit to its default configurations,interface,FALSE,,
id,*IDN,,TRUE,str,FALSE,none,None,Read the SR810 device identification string.,interface,FALSE,,
local_remote,LOCL,,TRUE,int,TRUE,int,"[0,2]",Set (Query) the Local/Remote state to LOCAL (0); REMOTE (1); or LOCAL LOCKOUT (2).,interface,FALSE,,
clear_status,*CLS,,FALSE,none,TRUE,none,None,Clear all status bytes.,status,FALSE,,
event_status_enable,*ESE,,TRUE,int,TRUE,int,"[0,255]",Set (Query) the Standard Event Status Byte Enable Register to the decimal value i (0-255). *ESE I j sets bit i (0-7) to j (0 or 1). *ESE? decimal value i (0-255). *ESE I queries the byte. *ESE?i queries only bit i.,status,FALSE,,
event_status,*ESR,,TRUE,int,FALSE,none,None,"Query the Standard Event Status Byte. If i is included, only bit i is queried.",status,FALSE,,
serial_poll_enable,*SRE,,TRUE,int,TRUE,int,"[0,255]","Set (Query) the Serial Poll Enable Register to the decimal value i (0-255). *SRE I j sets bit i (0-7) to j (0 or 1). *SRE? queries the byte *SRE?i queries only bit i.""",status,FALSE,,
serial_poll,*STB,,TRUE,int,FALSE,none,None,"Query the Serial Poll Status Byte. If i is included, only bit i is queried.",status,FALSE,,
power_on_status,*PSC,,TRUE,int,TRUE,int,"[0,1]",Set (Query) the Power On Status Clear bit to Set (1) or Clear (0).,status,FALSE,,
error_status_enable,ERRE,,TRUE,int,TRUE,int,"[0,255]","Set (Query) the Error Status Enable Register to the decimal value I (0-255). ERRE i,j sets bit i (0-7) to j (0 or 1). ERRE? queries the byte, ERRE?i queries only bit i.",status,FALSE,,
error_status,ERRS,,TRUE,int,FALSE,none,None,"Query the Error Status Byte. If i is included, only bit i is queried.",status,FALSE,,
lia_status_enable,LIAE,,TRUE,int,TRUE,int,"[0,255]","Set (Query) the LIA Status Enable Register to the decimal value i (0-255). LIAE i,j sets bit i (0-7) to j (0 or 1). LIAE? queries the byte, LIAE? i queries only bit i.",status,FALSE,,
lia_status,LIAS,,TRUE,int,FALSE,none,None,"Query the LIA Status Byte. If i is included, only bit i is queried.",status,TRUE,,
comm_error,*ESR,,TRUE,bit2_set,FALSE,none,None,get communication error; for self testing ,,TRUE,,
